codigo_campo,campana,fecha,tipo_riego,volumen_m3,horas_riego,cumplimiento_pct
C-1004,2023-2024,2023-06-17,goteo,136.5,1.2,76.9
C-1004,2023-2024,2023-06-24,goteo,135.3,1.0,77.7
C-1004,2023-2024,2023-07-01,goteo,154.9,1.7,71.8
C-1004,2023-2024,2023-07-08,goteo,138.6,1.5,71.6
C-1004,2023-2024,2023-07-15,goteo,102.0,0.8,81.2
C-1004,2023-2024,2023-07-22,goteo,150.1,1.4,90.6
C-1004,2023-2024,2023-07-29,goteo,89.5,0.7,93.4
C-1004,2023-2024,2023-08-05,goteo,124.1,0.9,74.9
C-1004,2023-2024,2023-08-12,goteo,129.4,1.5,92.4
C-1004,2023-2024,2023-08-19,goteo,190.6,2.3,96.2
C-1004,2023-2024,2023-08-26,goteo,150.2,1.2,80.2
C-1004,2023-2024,2023-09-02,goteo,152.3,1.5,100.0
C-1004,2023-2024,2023-09-09,goteo,168.5,1.6,88.7
C-1004,2023-2024,2023-09-16,goteo,141.3,1.3,88.2
C-1004,2023-2024,2023-09-23,goteo,150.1,1.4,81.0
C-1004,2023-2024,2023-09-30,goteo,156.9,1.3,65.4
C-1004,2023-2024,2023-10-07,goteo,164.3,1.7,69.4
C-1004,2023-2024,2023-10-14,goteo,148.1,1.1,75.4
C-1004,2023-2024,2023-10-21,goteo,168.0,1.8,77.7
C-1004,2023-2024,2023-10-28,goteo,136.3,1.4,83.2
C-1004,2023-2024,2023-11-04,goteo,126.8,0.9,81.4
C-1004,2023-2024,2023-11-11,goteo,107.0,1.2,80.8
C-1004,2023-2024,2023-11-18,goteo,144.5,1.1,80.7
C-1004,2023-2024,2023-11-25,goteo,154.5,1.1,72.0
C-1004,2023-2024,2023-12-02,goteo,123.1,1.5,83.2
C-1004,2023-2024,2023-12-09,goteo,177.3,1.6,60.9
C-1004,2023-2024,2023-12-16,goteo,111.2,1.0,76.5
C-1004,2023-2024,2023-12-23,goteo,140.3,1.5,78.4
C-1004,2023-2024,2023-12-30,goteo,172.9,1.5,74.0
C-1004,2023-2024,2024-01-06,goteo,160.1,1.6,84.1
C-1004,2023-2024,2024-01-13,goteo,151.7,1.2,93.6
C-1004,2023-2024,2024-01-20,goteo,135.5,1.6,79.1
C-1004,2023-2024,2024-01-27,goteo,120.8,1.3,72.3
C-1004,2023-2024,2024-02-03,goteo,132.6,1.3,85.4
C-1004,2023-2024,2024-02-10,goteo,135.5,1.1,90.2
C-1004,2023-2024,2024-02-17,goteo,181.6,1.6,91.8
C-1004,2023-2024,2024-02-24,goteo,107.3,1.2,74.0
C-1004,2023-2024,2024-03-02,goteo,152.1,1.2,79.6
C-1004,2023-2024,2024-03-09,goteo,191.6,1.7,84.2
C-1005,2023-2024,2023-04-04,gravedad,88.9,1.0,96.0
C-1005,2023-2024,2023-04-11,gravedad,103.3,0.8,94.9
C-1005,2023-2024,2023-04-18,gravedad,95.7,1.0,91.7
C-1005,2023-2024,2023-04-25,gravedad,100.3,1.2,94.1
C-1005,2023-2024,2023-05-02,gravedad,99.6,0.9,100.0
C-1005,2023-2024,2023-05-09,gravedad,91.7,0.8,95.1
C-1005,2023-2024,2023-05-16,gravedad,49.3,0.4,63.2
C-1005,2023-2024,2023-05-23,gravedad,65.2,0.7,96.3
C-1005,2023-2024,2023-05-30,gravedad,72.6,0.9,100.0
C-1005,2023-2024,2023-06-06,gravedad,81.5,0.7,92.4
C-1005,2023-2024,2023-06-13,gravedad,93.3,1.0,93.5
C-1005,2023-2024,2023-06-20,gravedad,74.7,0.6,92.1
C-1005,2023-2024,2023-06-27,gravedad,69.9,0.7,86.5
C-1005,2023-2024,2023-07-04,gravedad,100.1,1.1,90.2
C-1005,2023-2024,2023-07-11,gravedad,86.5,0.8,97.4
C-1005,2023-2024,2023-07-18,gravedad,74.7,0.6,100.0
C-1005,2023-2024,2023-07-25,gravedad,82.5,0.7,96.0
C-1005,2023-2024,2023-08-01,gravedad,94.0,0.9,94.3
C-1005,2023-2024,2023-08-08,gravedad,97.6,0.7,97.5
C-1005,2023-2024,2023-08-15,gravedad,69.4,0.5,90.0
C-1005,2023-2024,2023-08-22,gravedad,81.6,0.8,100.0
C-1005,2023-2024,2023-08-29,gravedad,111.6,0.9,91.6
C-1005,2023-2024,2023-09-05,gravedad,92.6,0.8,93.4
C-1005,2023-2024,2023-09-12,gravedad,89.7,0.9,92.0
C-1005,2023-2024,2023-09-19,gravedad,78.3,0.7,97.5
C-1005,2023-2024,2023-09-26,gravedad,88.0,1.0,97.8
C-1005,2023-2024,2023-10-03,gravedad,83.0,0.7,95.5
C-1005,2023-2024,2023-10-10,gravedad,71.6,0.8,88.4
C-1005,2023-2024,2023-10-17,gravedad,66.1,0.7,84.3
C-1005,2023-2024,2023-10-24,gravedad,88.6,0.9,89.7
C-1005,2023-2024,2023-10-31,gravedad,96.1,0.8,95.0
C-1005,2023-2024,2023-11-07,gravedad,93.3,0.8,75.6
C-1005,2023-2024,2023-11-14,gravedad,83.1,0.7,92.7
C-1005,2023-2024,2023-11-21,gravedad,87.9,0.9,100.0
C-1005,2023-2024,2023-11-28,gravedad,90.6,0.7,96.3
C-1005,2023-2024,2023-12-05,gravedad,81.0,0.6,100.0
C-1005,2023-2024,2023-12-12,gravedad,80.6,0.6,97.9
C-1005,2023-2024,2023-12-19,gravedad,75.3,0.7,98.0
C-1005,2023-2024,2023-12-26,gravedad,89.3,0.9,85.6
C-1005,2023-2024,2024-01-02,gravedad,80.8,0.6,84.8
C-1005,2023-2024,2024-01-09,gravedad,93.7,0.8,90.8
C-1005,2023-2024,2024-01-16,gravedad,89.4,0.8,81.4
C-1005,2023-2024,2024-01-23,gravedad,107.3,0.9,95.7
C-1005,2023-2024,2024-01-30,gravedad,89.5,0.8,91.2
C-1005,2023-2024,2024-02-06,gravedad,107.1,0.8,100.0
C-1005,2023-2024,2024-02-13,gravedad,79.4,1.0,83.9
C-1005,2023-2024,2024-02-20,gravedad,93.9,0.7,91.8
C-1005,2023-2024,2024-02-27,gravedad,85.3,1.0,90.6
C-1005,2023-2024,2024-03-05,gravedad,66.9,0.7,94.2
C-1005,2023-2024,2024-03-12,gravedad,105.3,0.9,87.7
C-1005,2023-2024,2024-03-19,gravedad,106.9,1.3,91.2
C-1005,2023-2024,2024-03-26,gravedad,93.6,1.0,93.3
C-1005,2023-2024,2024-04-02,gravedad,82.5,1.0,80.1
C-1005,2023-2024,2024-04-09,gravedad,96.5,0.9,87.7
C-1006,2023-2024,2023-05-25,goteo,162.4,1.4,86.5
C-1006,2023-2024,2023-06-01,goteo,171.8,2.0,95.7
C-1006,2023-2024,2023-06-08,goteo,166.3,1.7,100.0
C-1006,2023-2024,2023-06-15,goteo,158.4,1.9,95.9
C-1006,2023-2024,2023-06-22,goteo,121.2,1.0,80.9
C-1006,2023-2024,2023-06-29,goteo,127.8,1.2,98.5
C-1006,2023-2024,2023-07-06,goteo,177.4,1.4,82.6
C-1006,2023-2024,2023-07-13,goteo,139.8,1.6,92.4
C-1006,2023-2024,2023-07-20,goteo,169.7,1.9,94.6
C-1006,2023-2024,2023-07-27,goteo,123.6,1.5,91.8
C-1006,2023-2024,2023-08-03,goteo,128.8,1.0,90.3
C-1006,2023-2024,2023-08-10,goteo,139.2,1.1,91.0
C-1006,2023-2024,2023-08-17,goteo,139.8,1.1,84.6
C-1006,2023-2024,2023-08-24,goteo,139.3,1.1,100.0
C-1006,2023-2024,2023-08-31,goteo,141.5,1.1,92.3
C-1006,2023-2024,2023-09-07,goteo,145.9,1.3,91.8
C-1006,2023-2024,2023-09-14,goteo,182.5,1.8,75.8
C-1006,2023-2024,2023-09-21,goteo,133.3,1.1,97.3
C-1006,2023-2024,2023-09-28,goteo,155.4,1.7,99.9
C-1006,2023-2024,2023-10-05,goteo,167.5,1.6,99.5
C-1006,2023-2024,2023-10-12,goteo,151.0,1.3,97.4
C-1006,2023-2024,2023-10-19,goteo,147.5,1.1,100.0
C-1006,2023-2024,2023-10-26,goteo,91.7,1.0,82.3
C-1006,2023-2024,2023-11-02,goteo,137.2,1.4,79.7
C-1006,2023-2024,2023-11-09,goteo,123.6,1.1,100.0
C-1006,2023-2024,2023-11-16,goteo,184.3,2.3,88.9
C-1006,2023-2024,2023-11-23,goteo,120.1,1.1,90.9
C-1006,2023-2024,2023-11-30,goteo,123.4,1.0,79.0
C-1006,2023-2024,2023-12-07,goteo,128.5,1.2,94.7
C-1006,2023-2024,2023-12-14,goteo,154.2,1.6,98.6
C-1006,2023-2024,2023-12-21,goteo,127.7,1.5,91.7
C-1006,2023-2024,2023-12-28,goteo,115.1,0.9,94.7
C-1006,2023-2024,2024-01-04,goteo,158.4,1.2,100.0
C-1006,2023-2024,2024-01-11,goteo,167.0,1.2,97.8
C-1006,2023-2024,2024-01-18,goteo,187.2,1.6,82.0
C-1006,2023-2024,2024-01-25,goteo,124.9,1.3,83.3
C-1006,2023-2024,2024-02-01,goteo,116.3,1.1,95.2
C-1006,2023-2024,2024-02-08,goteo,142.8,1.1,86.4
C-1006,2023-2024,2024-02-15,goteo,129.6,1.6,100.0
C-1006,2023-2024,2024-02-22,goteo,151.5,1.3,87.9
C-1006,2023-2024,2024-02-29,goteo,141.0,1.0,70.6
C-1006,2023-2024,2024-03-07,goteo,115.1,1.3,73.8
C-1006,2023-2024,2024-03-14,goteo,119.1,0.9,91.4
C-1006,2023-2024,2024-03-21,goteo,173.2,1.6,98.0
C-1006,2023-2024,2024-03-28,goteo,125.5,1.2,97.6
C-1006,2023-2024,2024-04-04,goteo,132.5,1.2,96.3
C-1006,2023-2024,2024-04-11,goteo,133.1,1.0,82.3
C-1006,2023-2024,2024-04-18,goteo,147.0,1.4,85.4
C-1006,2023-2024,2024-04-25,goteo,145.7,1.5,96.7
C-1006,2023-2024,2024-05-02,goteo,178.8,1.4,83.8
C-1007,2023-2024,2023-03-22,gravedad,116.0,1.1,100.0
C-1007,2023-2024,2023-03-29,gravedad,118.3,0.9,98.6
C-1007,2023-2024,2023-04-05,gravedad,96.6,0.9,100.0
C-1007,2023-2024,2023-04-12,gravedad,111.0,0.9,94.1
C-1007,2023-2024,2023-04-19,gravedad,114.2,1.1,99.6
C-1007,2023-2024,2023-04-26,gravedad,159.0,1.8,100.0
C-1007,2023-2024,2023-05-03,gravedad,127.9,1.4,96.4
C-1007,2023-2024,2023-05-10,gravedad,125.1,1.3,93.3
C-1007,2023-2024,2023-05-17,gravedad,138.6,1.2,100.0
C-1007,2023-2024,2023-05-24,gravedad,155.1,1.1,96.9
C-1007,2023-2024,2023-05-31,gravedad,133.1,1.2,100.0
C-1007,2023-2024,2023-06-07,gravedad,114.7,0.9,100.0
C-1007,2023-2024,2023-06-14,gravedad,122.0,1.0,82.6
C-1007,2023-2024,2023-06-21,gravedad,88.0,0.8,100.0
C-1007,2023-2024,2023-06-28,gravedad,130.8,1.3,99.8
C-1007,2023-2024,2023-07-05,gravedad,164.0,1.4,100.0
C-1007,2023-2024,2023-07-12,gravedad,117.8,0.9,82.9
C-1007,2023-2024,2023-07-19,gravedad,130.9,0.9,87.3
C-1007,2023-2024,2023-07-26,gravedad,113.6,1.2,92.2
C-1007,2023-2024,2023-08-02,gravedad,127.1,1.2,79.6
C-1007,2023-2024,2023-08-09,gravedad,137.7,1.3,97.9
C-1007,2023-2024,2023-08-16,gravedad,79.2,0.7,100.0
C-1007,2023-2024,2023-08-23,gravedad,73.5,0.7,90.5
C-1007,2023-2024,2023-08-30,gravedad,141.3,1.1,100.0
C-1007,2023-2024,2023-09-06,gravedad,136.8,1.0,98.3
C-1007,2023-2024,2023-09-13,gravedad,133.2,1.2,100.0
C-1007,2023-2024,2023-09-20,gravedad,111.7,0.9,99.8
C-1007,2023-2024,2023-09-27,gravedad,96.5,1.2,100.0
C-1007,2023-2024,2023-10-04,gravedad,131.6,1.4,99.0
C-1007,2023-2024,2023-10-11,gravedad,140.1,1.4,91.4
C-1007,2023-2024,2023-10-18,gravedad,142.7,1.4,100.0
C-1007,2023-2024,2023-10-25,gravedad,161.2,1.9,100.0
C-1007,2023-2024,2023-11-01,gravedad,177.3,1.5,93.6
C-1007,2023-2024,2023-11-08,gravedad,134.2,1.6,95.7
C-1007,2023-2024,2023-11-15,gravedad,106.6,0.8,100.0
C-1007,2023-2024,2023-11-22,gravedad,112.2,1.1,99.1
C-1007,2023-2024,2023-11-29,gravedad,121.3,0.9,89.6
C-1007,2023-2024,2023-12-06,gravedad,132.7,1.0,100.0
C-1007,2023-2024,2023-12-13,gravedad,119.0,0.9,96.7
C-1007,2023-2024,2023-12-20,gravedad,121.3,1.1,100.0
C-1007,2023-2024,2023-12-27,gravedad,93.3,0.9,96.9
C-1007,2023-2024,2024-01-03,gravedad,133.2,1.0,100.0
C-1007,2023-2024,2024-01-10,gravedad,149.6,1.2,87.8
C-1007,2023-2024,2024-01-17,gravedad,141.8,1.1,87.1
C-1007,2023-2024,2024-01-24,gravedad,125.6,1.0,100.0
C-1007,2023-2024,2024-01-31,gravedad,129.4,1.0,100.0
C-1007,2023-2024,2024-02-07,gravedad,149.3,1.4,97.4
C-1007,2023-2024,2024-02-14,gravedad,123.0,1.2,100.0
C-1007,2023-2024,2024-02-21,gravedad,149.7,1.8,100.0
C-1007,2023-2024,2024-02-28,gravedad,108.8,0.8,100.0
C-1007,2023-2024,2024-03-06,gravedad,115.8,1.3,85.0
C-1007,2023-2024,2024-03-13,gravedad,161.3,1.7,98.5
C-1008,2023-2024,2023-04-16,aspersión,96.6,1.0,90.3
C-1008,2023-2024,2023-04-23,aspersión,118.7,1.4,88.3
C-1008,2023-2024,2023-04-30,aspersión,135.3,1.0,98.1
C-1008,2023-2024,2023-05-07,aspersión,122.3,1.3,89.6
C-1008,2023-2024,2023-05-14,aspersión,163.5,1.2,100.0
C-1008,2023-2024,2023-05-21,aspersión,147.6,1.7,100.0
C-1008,2023-2024,2023-05-28,aspersión,140.8,1.0,93.2
C-1008,2023-2024,2023-06-04,aspersión,118.5,1.1,96.1
C-1008,2023-2024,2023-06-11,aspersión,148.2,1.2,85.6
C-1008,2023-2024,2023-06-18,aspersión,137.6,1.5,98.2
C-1008,2023-2024,2023-06-25,aspersión,136.2,1.0,85.5
C-1008,2023-2024,2023-07-02,aspersión,106.5,1.0,94.8
C-1008,2023-2024,2023-07-09,aspersión,121.0,1.1,69.3
C-1008,2023-2024,2023-07-16,aspersión,99.6,0.9,87.6
C-1008,2023-2024,2023-07-23,aspersión,129.1,1.1,100.0
C-1008,2023-2024,2023-07-30,aspersión,119.8,1.4,100.0
C-1008,2023-2024,2023-08-06,aspersión,150.4,1.1,88.2
C-1008,2023-2024,2023-08-13,aspersión,116.5,0.9,92.1
C-1008,2023-2024,2023-08-20,aspersión,115.2,1.1,92.0
C-1008,2023-2024,2023-08-27,aspersión,164.7,1.4,100.0
C-1008,2023-2024,2023-09-03,aspersión,129.1,1.1,87.1
C-1008,2023-2024,2023-09-10,aspersión,106.8,1.0,100.0
C-1008,2023-2024,2023-09-17,aspersión,123.2,1.0,82.1
C-1008,2023-2024,2023-09-24,aspersión,96.3,0.8,93.8
C-1008,2023-2024,2023-10-01,aspersión,143.2,1.2,74.9
C-1008,2023-2024,2023-10-08,aspersión,119.0,1.2,100.0
C-1008,2023-2024,2023-10-15,aspersión,95.7,1.1,100.0
C-1008,2023-2024,2023-10-22,aspersión,130.8,1.2,93.9
C-1008,2023-2024,2023-10-29,aspersión,128.6,1.0,86.5
C-1008,2023-2024,2023-11-05,aspersión,138.6,1.3,95.6
C-1008,2023-2024,2023-11-12,aspersión,125.8,1.3,92.8
C-1008,2023-2024,2023-11-19,aspersión,111.1,0.9,90.1
C-1008,2023-2024,2023-11-26,aspersión,102.2,0.8,83.7
C-1008,2023-2024,2023-12-03,aspersión,135.6,1.3,88.4
C-1008,2023-2024,2023-12-10,aspersión,111.0,1.1,95.6
C-1008,2023-2024,2023-12-17,aspersión,118.6,1.1,76.1
C-1008,2023-2024,2023-12-24,aspersión,121.7,1.2,94.0
C-1008,2023-2024,2023-12-31,aspersión,123.7,1.2,100.0
C-1008,2023-2024,2024-01-07,aspersión,85.8,0.9,94.6
C-1008,2023-2024,2024-01-14,aspersión,109.4,1.0,90.4
C-1008,2023-2024,2024-01-21,aspersión,86.9,0.6,70.9
C-1008,2023-2024,2024-01-28,aspersión,118.2,0.9,89.5
C-1008,2023-2024,2024-02-04,aspersión,142.3,1.7,91.6
C-1008,2023-2024,2024-02-11,aspersión,83.3,0.8,97.4
C-1008,2023-2024,2024-02-18,aspersión,128.2,1.1,83.6
C-1008,2023-2024,2024-02-25,aspersión,159.4,1.7,98.9
C-1008,2023-2024,2024-03-03,aspersión,91.5,0.7,100.0
