fundo,fecha,temp_max,temp_min,precipitacion_mm,humedad_pct,radiacion_mj_m2
San Ramón,2023-11-15,27.6,14.6,1.4,78.3,17.8
San Ramón,2023-11-18,28.5,19.2,1.5,69.5,19.3
San Ramón,2023-11-21,28.6,19.2,4.2,75.7,24.1
San Ramón,2023-11-24,27.2,16.4,3.9,73.4,22.3
San Ramón,2023-11-27,29.1,14.7,0.2,81.7,20.7
San Ramón,2023-11-30,23.9,16.5,4.5,58.6,18.6
San Ramón,2023-12-03,24.2,17.9,1.2,53.5,21.4
San Ramón,2023-12-06,27.5,17.7,5.7,62.0,16.9
San Ramón,2023-12-09,26.3,16.7,2.9,68.1,18.3
San Ramón,2023-12-12,26.8,21.7,10.2,64.4,30.0
San Ramón,2023-12-15,28.7,13.9,4.4,60.9,23.6
San Ramón,2023-12-18,27.2,15.8,6.3,75.7,23.9
San Ramón,2023-12-21,28.8,15.8,5.8,82.1,20.5
San Ramón,2023-12-24,32.2,18.4,3.4,72.5,20.5
San Ramón,2023-12-27,24.6,16.5,18.6,65.8,21.4
San Ramón,2023-12-30,27.7,18.2,4.2,71.7,14.5
San Ramón,2024-01-01,27.1,15.6,2.9,85.4,25.5
San Ramón,2024-01-04,28.4,16.1,14.8,70.7,19.2
San Ramón,2024-01-07,28.1,15.4,17.6,72.0,22.4
San Ramón,2024-01-10,25.7,17.7,8.2,64.3,17.9
San Ramón,2024-01-13,24.6,18.3,8.9,63.0,25.0
San Ramón,2024-01-16,25.9,15.9,1.4,78.3,23.4
San Ramón,2024-01-19,29.1,17.4,5.7,64.8,16.7
San Ramón,2024-01-22,30.5,17.8,3.3,70.4,18.8
San Ramón,2024-01-25,24.5,16.6,0.2,60.5,14.1
San Ramón,2024-01-28,23.4,15.6,10.7,61.2,22.6
San Ramón,2024-01-31,27.1,17.4,9.0,62.1,20.5
San Ramón,2024-02-03,24.1,17.4,18.2,79.2,18.6
San Ramón,2024-02-06,29.9,14.0,9.6,73.8,24.7
San Ramón,2024-02-09,31.5,16.4,7.1,67.1,24.4
San Ramón,2024-02-12,24.9,17.1,6.0,58.8,21.9
San Ramón,2024-02-15,24.0,17.1,7.9,65.0,16.1
San Ramón,2024-02-18,26.1,14.4,0.7,71.0,18.8
San Ramón,2024-02-21,31.5,14.9,0.7,59.6,20.3
San Ramón,2024-02-24,30.3,18.6,5.5,75.6,21.7
San Ramón,2024-02-27,25.9,17.5,2.2,74.7,22.3
San Ramón,2024-03-01,29.0,13.4,12.2,59.8,17.6
San Ramón,2024-03-04,32.7,15.8,7.8,81.5,16.2
San Ramón,2024-03-07,26.2,18.8,0.0,54.4,22.2
San Ramón,2024-03-10,26.3,19.4,1.0,80.5,27.1
San Ramón,2024-03-13,25.2,15.9,2.0,61.4,21.1
San Ramón,2024-03-16,26.7,15.8,7.5,70.7,20.7
San Ramón,2024-03-19,25.8,15.2,2.7,69.6,18.2
San Ramón,2024-03-22,28.1,12.7,0.5,67.2,16.6
San Ramón,2024-03-25,31.4,16.3,8.3,65.2,19.9
San Ramón,2024-03-28,24.3,16.0,8.0,67.2,9.8
San Ramón,2024-03-31,24.5,19.2,8.0,83.2,25.6
San Ramón,2024-04-03,29.0,15.4,4.2,81.5,20.3
San Ramón,2024-04-06,33.5,15.6,0.5,68.4,25.3
San Ramón,2024-04-09,31.5,14.2,1.8,59.7,15.1
San Ramón,2024-04-12,29.0,15.9,1.6,75.6,12.6
San Ramón,2024-04-15,30.5,15.6,0.2,76.2,25.5
San Ramón,2024-04-18,27.0,12.0,1.0,72.0,15.9
San Ramón,2024-04-21,27.7,15.6,3.6,76.7,17.7
San Ramón,2024-04-24,26.3,15.4,0.3,69.6,20.3
San Ramón,2024-04-27,26.2,17.2,0.2,76.5,22.7
San Ramón,2024-04-30,28.8,13.5,2.9,68.0,17.1
San Ramón,2024-05-03,24.6,12.5,7.1,67.4,19.7
San Ramón,2024-05-06,25.3,16.5,10.6,80.9,19.4
San Ramón,2024-05-09,29.0,16.7,0.7,69.1,15.1
San Ramón,2024-05-12,27.0,14.8,0.0,56.6,20.1
San Ramón,2024-05-15,28.7,18.1,1.1,70.2,20.7
San Ramón,2024-05-18,31.2,13.3,5.3,98.0,18.9
San Ramón,2024-05-21,22.6,15.1,11.8,72.4,23.2
San Ramón,2024-05-24,25.0,15.4,1.6,52.5,14.7
San Ramón,2024-05-27,26.7,14.8,1.8,57.4,20.9
San Ramón,2024-05-30,26.9,17.4,0.6,72.1,14.2
San Ramón,2024-06-02,28.5,15.6,0.6,80.5,17.1
San Ramón,2024-06-05,30.7,19.2,0.4,60.2,11.3
San Ramón,2024-06-08,30.0,16.5,0.9,81.7,16.6
San Ramón,2024-06-11,26.2,17.3,4.9,68.9,24.4
San Ramón,2024-06-14,27.8,18.8,0.1,70.1,10.7
San Ramón,2024-06-17,24.5,17.8,2.2,66.7,21.4
San Ramón,2024-06-20,31.0,15.1,2.4,69.5,21.4
San Ramón,2024-06-23,26.9,18.4,2.5,71.2,21.8
San Ramón,2024-06-26,26.3,18.0,5.8,77.9,20.8
San Ramón,2024-06-29,28.2,15.0,4.9,82.2,22.5
San Ramón,2024-07-02,24.7,16.7,0.7,64.3,23.8
San Ramón,2024-07-05,27.0,16.5,4.1,66.1,21.4
San Ramón,2024-07-08,28.5,18.2,1.8,68.3,14.7
San Ramón,2024-07-11,26.8,13.8,3.9,67.3,20.9
San Ramón,2024-07-14,26.0,12.7,3.4,48.3,17.8
San Ramón,2024-07-17,27.2,16.8,0.8,51.6,16.8
San Ramón,2024-07-20,25.4,14.7,0.5,57.9,21.2
San Ramón,2024-07-23,27.7,18.2,3.5,77.9,19.3
San Ramón,2024-07-26,28.4,13.3,0.8,73.8,21.7
San Ramón,2024-07-29,28.5,15.2,0.7,65.4,21.7
San Ramón,2024-08-01,28.8,19.7,3.0,63.5,14.0
San Ramón,2024-08-04,31.2,17.1,2.0,100.0,21.3
San Ramón,2024-08-07,24.0,15.9,3.4,66.0,18.4
San Ramón,2024-08-10,25.8,13.5,1.9,73.0,19.1
San Ramón,2024-08-13,29.2,17.2,0.6,76.8,20.5
San Ramón,2024-08-16,29.0,17.8,6.1,67.8,26.1
San Ramón,2024-08-19,26.1,17.1,2.1,63.9,16.8
San Ramón,2024-08-22,26.4,15.3,1.8,63.5,21.1
San Ramón,2024-08-25,30.5,17.4,1.4,76.4,17.8
San Ramón,2024-08-28,28.4,16.3,0.4,69.0,19.9
San Ramón,2024-08-31,30.7,16.3,2.6,79.4,22.7
San Ramón,2024-09-03,22.8,18.5,3.1,77.2,16.1
San Ramón,2024-09-06,24.3,20.2,1.2,81.5,20.5
San Ramón,2024-09-09,26.2,16.2,2.6,69.9,15.7
San Ramón,2024-09-12,26.3,18.1,1.3,55.2,23.4
San Ramón,2024-09-15,27.3,15.2,1.3,68.3,15.3
San Ramón,2024-09-18,31.9,16.3,5.3,65.9,24.7
San Ramón,2024-09-21,26.0,13.2,0.8,83.3,23.3
San Ramón,2024-09-24,26.7,19.0,4.3,67.3,19.3
San Ramón,2024-09-27,28.1,14.6,0.1,73.1,13.3
San Ramón,2024-09-30,26.8,15.7,4.4,51.6,18.5
San Ramón,2024-10-03,26.1,18.2,1.5,88.0,22.6
San Ramón,2024-10-06,26.3,16.8,2.7,78.6,14.7
San Ramón,2024-10-09,25.2,17.2,2.1,48.0,25.5
San Ramón,2024-10-12,26.9,12.5,3.0,54.7,19.9
San Ramón,2024-10-15,27.1,17.6,0.9,58.9,18.3
San Ramón,2024-10-18,27.4,16.8,2.1,79.0,17.5
San Ramón,2024-10-21,25.1,15.2,2.2,68.7,17.2
San Ramón,2024-10-24,29.6,20.6,5.6,82.3,24.1
San Ramón,2024-10-27,25.8,16.3,9.5,100.0,14.9
San Ramón,2024-10-30,26.8,15.0,0.9,62.5,18.9
San Ramón,2024-11-02,28.6,16.1,0.3,62.5,13.9
San Ramón,2024-11-05,27.9,17.3,2.3,62.1,21.0
San Ramón,2024-11-08,26.1,14.0,0.4,78.2,23.8
San Ramón,2024-11-11,25.8,18.7,3.8,76.5,18.0
San Ramón,2024-11-14,26.7,11.5,0.5,70.9,18.4
San Ramón,2024-11-17,31.7,14.0,9.0,61.0,17.7
San Ramón,2024-11-20,29.9,19.2,1.5,62.8,15.4
San Ramón,2024-11-23,30.6,18.5,1.8,56.0,14.8
San Ramón,2024-11-26,27.7,17.4,11.5,66.8,26.5
San Ramón,2024-11-29,26.7,19.3,2.6,59.2,18.8
San Ramón,2024-12-02,27.0,14.4,10.3,85.1,16.1
San Ramón,2024-12-05,30.0,15.4,0.0,75.6,17.6
San Ramón,2024-12-08,28.7,12.2,3.7,45.3,19.1
San Ramón,2024-12-11,29.4,17.5,7.7,58.3,17.2
San Ramón,2024-12-14,27.8,12.2,4.6,73.1,18.9
San Ramón,2024-12-17,28.6,16.7,4.3,50.6,20.5
San Ramón,2024-12-20,24.9,15.1,14.5,84.2,19.8
San Ramón,2024-12-23,28.7,13.4,1.2,69.4,24.9
San Ramón,2024-12-26,25.9,15.8,7.3,69.1,15.6
San Ramón,2024-12-29,33.7,14.1,6.2,73.5,21.1
La Esperanza,2023-01-01,28.3,15.6,17.5,67.8,22.4
La Esperanza,2023-01-04,28.0,17.1,3.3,54.5,19.4
La Esperanza,2023-01-07,27.8,20.2,4.2,64.2,16.4
La Esperanza,2023-01-10,32.4,16.1,0.5,79.7,19.4
La Esperanza,2023-01-13,25.4,15.1,14.6,57.4,21.6
La Esperanza,2023-01-16,29.1,18.6,4.9,60.7,16.1
La Esperanza,2023-01-19,30.6,16.6,10.8,76.5,15.9
La Esperanza,2023-01-22,30.0,20.6,0.0,80.0,20.6
La Esperanza,2023-01-25,32.8,15.7,7.8,76.7,19.2
La Esperanza,2023-01-28,31.7,17.0,2.5,91.2,21.1
La Esperanza,2023-01-31,30.2,20.2,13.8,56.9,25.0
La Esperanza,2023-02-03,29.5,17.4,0.0,46.1,19.2
La Esperanza,2023-02-06,27.0,19.7,1.5,75.8,21.6
La Esperanza,2023-02-09,25.1,19.0,5.2,82.5,28.5
La Esperanza,2023-02-12,24.6,17.1,5.1,71.7,20.1
La Esperanza,2023-02-15,28.3,19.9,4.2,59.6,15.9
La Esperanza,2023-02-18,27.9,15.4,2.9,68.3,16.9
La Esperanza,2023-02-21,31.0,17.7,2.4,68.0,19.9
La Esperanza,2023-02-24,27.4,17.8,3.2,61.9,23.0
La Esperanza,2023-02-27,27.4,19.5,0.1,85.2,15.4
La Esperanza,2023-03-02,25.1,16.6,4.6,56.2,22.5
La Esperanza,2023-03-05,28.8,16.9,6.4,64.0,26.6
La Esperanza,2023-03-08,27.0,15.2,0.1,67.8,28.2
La Esperanza,2023-03-11,27.5,19.5,0.5,64.8,17.0
La Esperanza,2023-03-14,30.7,19.0,2.4,58.7,9.9
La Esperanza,2023-03-17,30.3,17.3,2.1,53.1,15.6
La Esperanza,2023-03-20,27.6,16.5,0.5,75.8,29.1
La Esperanza,2023-03-23,28.8,20.1,4.2,53.3,18.6
La Esperanza,2023-03-26,24.8,17.9,2.1,50.5,26.9
La Esperanza,2023-03-29,27.5,14.6,4.4,62.7,24.4
La Esperanza,2023-04-01,27.0,16.8,2.9,75.9,23.1
La Esperanza,2023-04-04,28.6,18.9,3.0,72.0,19.4
La Esperanza,2023-04-07,25.2,19.0,0.0,82.8,14.3
La Esperanza,2023-04-10,32.9,17.8,0.3,66.0,13.3
La Esperanza,2023-04-13,28.5,18.5,1.7,68.0,11.2
La Esperanza,2023-04-16,25.0,21.9,1.6,84.3,16.3
La Esperanza,2023-04-19,28.4,19.1,0.5,85.9,20.3
La Esperanza,2023-04-22,30.0,17.3,0.4,87.3,17.6
La Esperanza,2023-04-25,30.8,18.8,0.1,72.1,20.0
La Esperanza,2023-04-28,26.7,18.6,0.7,69.3,19.7
La Esperanza,2023-05-01,28.6,17.1,0.7,63.6,30.0
La Esperanza,2023-05-04,25.3,16.7,4.9,90.4,14.7
La Esperanza,2023-05-07,29.9,18.3,1.8,82.4,24.9
La Esperanza,2023-05-10,27.7,18.2,4.3,71.0,16.8
La Esperanza,2023-05-13,28.4,14.5,0.4,53.0,20.6
La Esperanza,2023-05-16,25.8,16.1,1.9,85.6,16.9
La Esperanza,2023-05-19,32.6,14.9,2.4,65.1,16.3
La Esperanza,2023-05-22,30.4,19.7,0.9,72.1,20.5
La Esperanza,2023-05-25,30.2,18.4,0.4,53.7,19.5
La Esperanza,2023-05-28,25.4,18.4,0.6,65.3,20.5
La Esperanza,2023-05-31,30.7,13.7,0.4,73.6,8.4
La Esperanza,2023-06-03,26.4,20.0,0.2,73.7,23.5
La Esperanza,2023-06-06,29.4,19.0,1.0,71.2,17.5
La Esperanza,2023-06-09,32.0,20.9,0.4,65.9,16.2
La Esperanza,2023-06-12,32.0,18.9,3.8,63.7,21.7
La Esperanza,2023-06-15,26.1,19.1,0.7,86.3,22.8
La Esperanza,2023-06-18,25.4,18.2,3.4,61.3,19.8
La Esperanza,2023-06-21,32.4,19.1,0.7,62.7,16.0
La Esperanza,2023-06-24,31.9,15.4,1.0,69.3,24.1
La Esperanza,2023-06-27,30.4,18.8,3.5,82.2,30.0
La Esperanza,2023-06-30,30.6,18.0,1.9,63.6,19.1
La Esperanza,2023-07-03,27.5,17.8,1.2,82.5,19.4
La Esperanza,2023-07-06,25.8,20.5,1.2,52.7,22.8
La Esperanza,2023-07-09,31.4,13.0,6.5,68.9,22.9
La Esperanza,2023-07-12,27.6,16.2,0.6,65.3,22.2
La Esperanza,2023-07-15,26.1,15.1,0.9,72.5,23.7
La Esperanza,2023-07-18,27.5,16.2,4.5,54.8,25.0
La Esperanza,2023-07-21,32.1,19.6,3.1,61.8,19.2
La Esperanza,2023-07-24,25.6,15.9,0.4,76.5,15.8
La Esperanza,2023-07-27,30.5,18.7,2.4,75.7,24.2
La Esperanza,2023-07-30,30.0,19.8,3.6,68.8,19.8
La Esperanza,2023-08-02,28.2,18.7,0.2,73.9,19.3
La Esperanza,2023-08-05,27.0,20.0,1.7,59.8,19.2
La Esperanza,2023-08-08,24.5,17.9,0.6,64.3,26.3
La Esperanza,2023-08-11,25.9,19.3,3.5,80.8,19.9
La Esperanza,2023-08-14,26.0,15.1,2.9,63.1,17.1
La Esperanza,2023-08-17,28.0,17.6,0.1,57.6,17.3
La Esperanza,2023-08-20,28.4,17.4,2.8,72.3,13.5
La Esperanza,2023-08-23,29.9,18.9,1.5,57.9,27.0
La Esperanza,2023-08-26,26.2,19.2,1.1,76.0,26.8
La Esperanza,2023-08-29,30.2,16.7,1.2,63.7,20.7
La Esperanza,2023-09-01,25.6,15.8,1.6,73.7,13.2
La Esperanza,2023-09-04,30.1,16.2,1.7,66.5,15.5
La Esperanza,2023-09-07,29.0,16.0,4.1,70.0,19.4
La Esperanza,2023-09-10,30.3,15.8,3.6,74.1,15.6
La Esperanza,2023-09-13,26.1,19.5,0.2,57.5,17.5
La Esperanza,2023-09-16,26.6,21.4,0.5,65.8,22.3
La Esperanza,2023-09-19,25.4,16.5,0.0,74.5,19.6
La Esperanza,2023-09-22,29.5,18.0,0.8,67.0,18.3
La Esperanza,2023-09-25,29.4,18.7,1.5,58.2,16.0
La Esperanza,2023-09-28,29.8,20.8,0.0,65.9,20.9
La Esperanza,2023-10-01,26.0,20.5,0.4,63.3,19.3
La Esperanza,2023-10-04,27.5,20.5,1.1,71.6,22.3
La Esperanza,2023-10-07,27.0,18.2,1.1,54.5,21.0
La Esperanza,2023-10-10,28.7,18.1,1.6,72.6,25.3
La Esperanza,2023-10-13,25.9,17.2,0.3,74.8,21.8
La Esperanza,2023-10-16,35.7,19.1,0.4,66.9,16.0
La Esperanza,2023-10-19,28.1,19.3,2.4,74.0,19.1
La Esperanza,2023-10-22,27.9,17.5,0.3,78.4,16.0
La Esperanza,2023-10-25,30.7,16.5,2.3,68.1,26.3
La Esperanza,2023-10-28,27.8,18.2,3.1,61.3,19.7
La Esperanza,2023-10-31,28.2,16.8,0.4,81.1,17.6
La Esperanza,2023-11-03,30.3,18.5,0.6,75.2,14.3
La Esperanza,2023-11-06,30.4,16.8,0.4,57.1,20.5
La Esperanza,2023-11-09,31.2,16.2,1.4,74.5,21.9
La Esperanza,2023-11-12,22.8,21.9,1.6,77.0,19.4
La Esperanza,2023-11-15,24.2,19.2,0.8,75.4,19.1
La Esperanza,2023-11-18,29.4,16.3,5.2,58.1,29.0
La Esperanza,2023-11-21,34.4,21.1,0.4,69.2,24.7
La Esperanza,2023-11-24,28.6,14.7,5.4,81.3,19.9
La Esperanza,2023-11-27,25.8,16.7,3.2,79.5,13.6
La Esperanza,2023-11-30,29.6,16.2,1.0,72.4,18.7
La Esperanza,2023-12-03,30.9,15.3,7.7,46.1,11.3
La Esperanza,2023-12-06,33.3,22.0,18.5,61.8,18.8
La Esperanza,2023-12-09,31.0,16.8,11.1,69.9,17.7
La Esperanza,2023-12-12,27.5,18.4,7.2,74.5,18.1
La Esperanza,2023-12-15,29.2,20.6,1.1,79.2,12.8
La Esperanza,2023-12-18,27.7,17.9,15.0,50.4,19.6
La Esperanza,2023-12-21,32.5,16.3,2.9,73.3,20.7
La Esperanza,2023-12-24,32.8,18.7,0.2,66.4,17.0
La Esperanza,2023-12-27,28.3,15.5,4.0,66.1,17.3
La Esperanza,2023-12-30,30.1,15.6,7.0,65.2,24.6
La Esperanza,2024-01-01,28.9,16.6,6.4,71.1,13.3
La Esperanza,2024-01-04,29.8,16.1,9.2,76.9,16.9
La Esperanza,2024-01-07,25.0,17.6,3.1,79.4,19.3
La Esperanza,2024-01-10,29.8,17.1,0.3,66.3,20.9
La Esperanza,2024-01-13,30.3,16.2,4.3,70.5,20.5
La Esperanza,2024-01-16,31.6,18.7,6.4,72.1,17.2
La Esperanza,2024-01-19,26.8,16.9,24.4,77.5,15.6
La Esperanza,2024-01-22,29.7,16.1,9.5,83.4,25.9
La Esperanza,2024-01-25,27.9,17.7,15.1,84.0,22.9
La Esperanza,2024-01-28,24.0,20.3,2.0,64.9,15.9
La Esperanza,2024-01-31,28.5,15.7,0.9,77.4,17.7
La Esperanza,2024-02-03,24.5,17.1,2.5,71.5,14.6
La Esperanza,2024-02-06,26.7,17.7,3.0,62.1,15.3
La Esperanza,2024-02-09,27.3,17.4,22.0,64.9,21.2
La Esperanza,2024-02-12,31.0,16.7,27.0,72.0,28.2
La Esperanza,2024-02-15,24.1,16.3,4.5,71.0,20.8
La Esperanza,2024-02-18,30.1,16.5,3.5,68.8,18.6
La Esperanza,2024-02-21,25.6,12.6,1.4,90.5,21.8
La Esperanza,2024-02-24,29.0,15.5,2.9,79.8,28.0
La Esperanza,2024-02-27,31.0,17.9,2.0,72.1,17.0
La Esperanza,2024-03-01,23.7,14.0,0.2,67.1,14.1
La Esperanza,2024-03-04,27.2,15.6,1.5,66.3,18.7
La Esperanza,2024-03-07,25.7,18.1,22.5,50.1,20.0
La Esperanza,2024-03-10,27.5,17.1,18.5,60.8,20.0
La Esperanza,2024-03-13,26.2,19.4,19.3,69.5,29.9
La Esperanza,2024-03-16,26.8,17.4,15.8,77.3,21.2
La Esperanza,2024-03-19,27.8,16.5,14.7,73.3,28.1
La Esperanza,2024-03-22,30.3,16.9,2.4,61.3,19.0
La Esperanza,2024-03-25,29.7,19.3,9.5,65.2,28.7
La Esperanza,2024-03-28,27.5,19.9,0.7,72.5,18.8
La Esperanza,2024-03-31,29.6,19.0,3.7,66.5,23.7
La Esperanza,2024-04-03,27.0,15.3,3.0,81.0,18.2
La Esperanza,2024-04-06,27.8,13.9,4.0,71.2,20.1
La Esperanza,2024-04-09,24.9,14.8,6.4,74.6,12.1
La Esperanza,2024-04-12,24.8,12.6,0.2,52.0,20.1
La Esperanza,2024-04-15,31.4,19.6,2.8,73.0,16.0
La Esperanza,2024-04-18,24.3,16.1,2.8,76.0,17.1
La Esperanza,2024-04-21,29.0,11.8,3.1,61.8,20.3
La Esperanza,2024-04-24,26.8,16.0,3.0,70.2,22.2
La Esperanza,2024-04-27,27.7,15.7,0.1,78.3,17.8
La Esperanza,2024-04-30,27.1,18.6,4.1,56.6,18.6
La Esperanza,2024-05-03,24.9,20.7,10.2,65.0,18.5
La Esperanza,2024-05-06,27.5,15.6,2.6,34.7,20.2
La Esperanza,2024-05-09,27.3,18.4,5.5,68.1,23.3
La Esperanza,2024-05-12,24.5,17.8,1.0,58.2,19.3
La Esperanza,2024-05-15,30.8,16.6,1.0,62.5,24.2
La Esperanza,2024-05-18,25.7,16.7,1.3,76.6,21.0
La Esperanza,2024-05-21,25.4,18.0,3.5,64.2,12.7
La Esperanza,2024-05-24,28.5,15.6,1.8,75.6,18.2
La Esperanza,2024-05-27,26.6,16.1,1.5,70.3,15.1
